label,target_pass,wilson_pass,min_test_accuracy,min_test_coverage,min_test_wilson,all_base_markets,all_markets,all_wins,all_losses,all_accuracy,all_coverage,all_wilson95_lower,all_gross_pnl_cents,train_base_markets,train_markets,train_wins,train_losses,train_accuracy,train_coverage,train_wilson95_lower,train_gross_pnl_cents,validation_base_markets,validation_markets,validation_wins,validation_losses,validation_accuracy,validation_coverage,validation_wilson95_lower,validation_gross_pnl_cents,holdout_base_markets,holdout_markets,holdout_wins,holdout_losses,holdout_accuracy,holdout_coverage,holdout_wilson95_lower,holdout_gross_pnl_cents
block drift_p_5m_rv_15m<=0.85,False,False,0.88,0.78125,0.7004420607907267,156,126,112,14,0.8888888888888888,0.8076923076923077,0.8221164243496584,111.0,93,74,66,8,0.8918918918918919,0.7956989247311828,0.800911555641104,85.0,31,27,24,3,0.8888888888888888,0.8709677419354839,0.7194219918172017,14.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0
block drift_p_5m_rv_15m<=0.85 OR block adverse_move_5m>=5,False,False,0.88,0.78125,0.7004420607907267,156,126,112,14,0.8888888888888888,0.8076923076923077,0.8221164243496584,111.0,93,74,66,8,0.8918918918918919,0.7956989247311828,0.800911555641104,85.0,31,27,24,3,0.8888888888888888,0.8709677419354839,0.7194219918172017,14.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0
block drift_p_5m_rv_15m<=0.85 OR block adverse_move_5m>=20,False,False,0.88,0.78125,0.7004420607907267,156,126,112,14,0.8888888888888888,0.8076923076923077,0.8221164243496584,111.0,93,74,66,8,0.8918918918918919,0.7956989247311828,0.800911555641104,85.0,31,27,24,3,0.8888888888888888,0.8709677419354839,0.7194219918172017,14.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0
block drift_p_5m_rv_15m<=0.85 OR block adverse_move_3m>=10,False,False,0.88,0.78125,0.7004420607907267,156,125,111,14,0.888,0.8012820512820513,0.8207616439023666,93.0,93,73,65,8,0.8904109589041096,0.7849462365591398,0.7983737801279476,67.0,31,27,24,3,0.8888888888888888,0.8709677419354839,0.7194219918172017,14.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0
block adverse_move_5m>=5,False,False,0.8620689655172413,0.78125,0.6944100627964797,156,129,114,15,0.8837209302325582,0.8269230769230769,0.816995040099722,48.0,93,75,67,8,0.8933333333333333,0.8064516129032258,0.8033863715352692,94.0,31,29,25,4,0.8620689655172413,0.9354838709677419,0.6944100627964797,-58.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0
block adverse_move_3m>=10 OR block adverse_move_5m>=5,False,False,0.8620689655172413,0.78125,0.6944100627964797,156,128,113,15,0.8828125,0.8205128205128205,0.8156338413466524,30.0,93,74,66,8,0.8918918918918919,0.7956989247311828,0.800911555641104,76.0,31,29,25,4,0.8620689655172413,0.9354838709677419,0.6944100627964797,-58.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0
block adverse_move_3m>=5 OR block adverse_move_5m>=5,False,False,0.8620689655172413,0.78125,0.6944100627964797,156,127,112,15,0.8818897637795275,0.8141025641025641,0.8142522754298047,12.0,93,73,65,8,0.8904109589041096,0.7849462365591398,0.7983737801279476,58.0,31,29,25,4,0.8620689655172413,0.9354838709677419,0.6944100627964797,-58.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0
block adverse_move_5m>=5 OR block adverse_move_15m>=50,False,False,0.8620689655172413,0.78125,0.6944100627964797,156,127,112,15,0.8818897637795275,0.8141025641025641,0.8142522754298047,29.0,93,73,65,8,0.8904109589041096,0.7849462365591398,0.7983737801279476,75.0,31,29,25,4,0.8620689655172413,0.9354838709677419,0.6944100627964797,-58.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0
block margin_per_rv_sigma_30m<=0.5 OR block adverse_move_5m>=5,False,False,0.8620689655172413,0.75,0.6899611872949993,156,127,112,15,0.8818897637795275,0.8141025641025641,0.8142522754298047,15.0,93,74,66,8,0.8918918918918919,0.7956989247311828,0.800911555641104,79.0,31,29,25,4,0.8620689655172413,0.9354838709677419,0.6944100627964797,-58.0,32,24,21,3,0.875,0.75,0.6899611872949993,-6.0
block adverse_move_5m>=5 OR block adverse_move_15m>=35,False,False,0.8620689655172413,0.78125,0.6944100627964797,156,126,111,15,0.8809523809523809,0.8076923076923077,0.8128498826548354,13.0,93,72,64,8,0.8888888888888888,0.7741935483870968,0.7957706176633595,59.0,31,29,25,4,0.8620689655172413,0.9354838709677419,0.6944100627964797,-58.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0
