entries,net_pnl_cents,avg_pnl_cents,lcb_avg_pnl_cents,win_rate,skipped_winners,skipped_losers,positive_days,negative_days,min_day_pnl_cents,early_period_pnl_cents,late_period_pnl_cents,source_tier,policy_id,description,stability_score
579,711.0,1.2279792746113989,-0.9547027599288276,0.9222797927461139,0,0,10,3,-112.0,465.0,246.0,broad_execution_log,base_90_touch_hold,Enter every observed 90c touch and hold.,582.440414507772
568,812.0,1.4295774647887325,-0.7477817601268657,0.9242957746478874,9,2,11,2,-112.0,575.0,237.0,broad_execution_log,veto_extreme_model_disagree,Skip only when v28 fair is below 50c; keep missing fair.,698.862676056338
574,766.0,1.3344947735191637,-0.8438726866742914,0.9233449477351916,4,1,11,2,-112.0,538.0,228.0,broad_execution_log,veto_ultra_early_touch,Skip touches earlier than 13 minutes before close.,645.588850174216
166,494.0,2.9759036144578315,-0.6546120120004395,0.9397590361445783,378,35,10,3,-64.0,245.0,249.0,broad_execution_log,fair_buffer_ge92_only,Enter only when v28 fair is at least 92c.,595.156626506024
525,1325.0,2.5238095238095237,0.4165824910483029,0.9352380952380952,43,11,11,2,-121.0,768.0,557.0,broad_execution_log,veto_fragile_fair_85_88,Skip the weakest empirical fragile band: 85c <= v28 fair < 88c; keep missing fair.,1277.5714285714284
475,1475.0,3.1052631578947367,0.9849204151072537,0.9410526315789474,87,17,11,2,-139.0,843.0,632.0,broad_execution_log,veto_fragile_fair_85_88_or_90_92,Skip two empirical fragile bands: 85-88c and 90-92c; keep missing fair.,1436.0526315789473
464,1576.0,3.396551724137931,1.3016130003450996,0.9439655172413793,96,19,11,2,-139.0,953.0,623.0,broad_execution_log,veto_bad_fair_bands,Skip fair < 50c plus fragile 85-88c and 90-92c bands; keep missing fair.,1559.3362068965519
460,1640.0,3.5652173913043477,1.491228004167045,0.9456521739130435,99,20,11,2,-139.0,1035.0,605.0,broad_execution_log,veto_bad_fair_bands_and_ultra_early,"Skip fair < 50c, fragile 85-88c/90-92c bands, and touches earlier than 13 minutes.",1636.2391304347825
249,641.0,2.57429718875502,-0.4775925266656711,0.9357429718875502,301,29,10,3,-131.0,667.0,-26.0,broad_execution_log,late_window_le300,Enter only inside the final 5 minutes.,499.433734939759
266,694.0,2.6090225563909772,-0.3359118904427749,0.9360902255639098,285,28,11,2,-37.0,522.0,172.0,broad_execution_log,fair_ge88_and_not_ultra_early,Enter only when fair >= 88c and touch is not earlier than 13 minutes.,821.0902255639097
63,167.0,2.6507936507936507,-3.419024481121021,0.9365079365079365,0,0,3,1,-21.0,0.0,167.0,native_raw_ticker,base_90_touch_hold,Enter every observed 90c touch and hold.,329.2857142857143
52,168.0,3.230769230769231,-3.168439952881708,0.9423076923076923,10,1,3,1,-66.0,0.0,168.0,native_raw_ticker,veto_extreme_model_disagree,Skip only when v28 fair is below 50c; keep missing fair.,284.6538461538462
62,158.0,2.5483870967741935,-3.6167601949460786,0.9354838709677419,1,0,3,1,-21.0,0.0,158.0,native_raw_ticker,veto_ultra_early_touch,Skip touches earlier than 13 minutes before close.,312.4516129032258
3,27.0,9.0,9.0,1.0,56,4,3,0,9.0,0.0,27.0,native_raw_ticker,fair_buffer_ge92_only,Enter only when v28 fair is at least 92c.,717.0
63,167.0,2.6507936507936507,-3.419024481121021,0.9365079365079365,0,0,3,1,-21.0,0.0,167.0,native_raw_ticker,veto_fragile_fair_85_88,Skip the weakest empirical fragile band: 85c <= v28 fair < 88c; keep missing fair.,329.2857142857143
62,158.0,2.5483870967741935,-3.6167601949460786,0.9354838709677419,1,0,3,1,-30.0,0.0,158.0,native_raw_ticker,veto_fragile_fair_85_88_or_90_92,Skip two empirical fragile bands: 85-88c and 90-92c; keep missing fair.,294.4516129032258
51,159.0,3.1176470588235294,-3.404373134708861,0.9411764705882353,11,1,3,1,-75.0,0.0,159.0,native_raw_ticker,veto_bad_fair_bands,Skip fair < 50c plus fragile 85-88c and 90-92c bands; keep missing fair.,249.0
50,150.0,3.0,-3.649631568741234,0.94,12,1,3,1,-75.0,0.0,150.0,native_raw_ticker,veto_bad_fair_bands_and_ultra_early,"Skip fair < 50c, fragile 85-88c/90-92c bands, and touches earlier than 13 minutes.",231.0
26,-66.0,-2.5384615384615383,-15.062294439476483,0.8846153846153846,36,1,2,1,-83.0,0.0,-66.0,native_raw_ticker,late_window_le300,Enter only inside the final 5 minutes.,-430.0
4,36.0,9.0,9.0,1.0,55,4,3,0,9.0,0.0,36.0,native_raw_ticker,fair_ge88_and_not_ultra_early,Enter only when fair >= 88c and touch is not earlier than 13 minutes.,726.0
