policy,market,side,source,reason,mode,ask_bucket,ask_cents,p_eff,p_side,side_won,gross_cents,estimated_entry_fee_cents
v28_raw_p50_edge0,KXBTC15M-26MAY061015-15,no,rejected_actionable,p_below_floor,raw_exact,ask_50_59,52.0,0.595554,0.595554,True,96,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY061030-30,yes,rejected_actionable,p_below_floor,raw_exact,ask_60_69,61.0,0.618153,0.618153,True,78,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY061045-45,no,rejected_actionable,p_below_floor,raw_exact,ask_50_59,57.0,0.601767,0.601767,False,-114,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY061100-00,yes,rejected_actionable,p_below_floor,raw_exact,ask_70_79,74.0,0.740374,0.740374,False,-148,3.0
v28_raw_p50_edge0,KXBTC15M-26MAY061115-15,yes,rejected_actionable,p_below_floor,raw_exact,ask_50_59,52.0,0.533622,0.533622,False,-104,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY061130-30,yes,rejected_actionable,p_below_floor,raw_exact,ask_60_69,65.0,0.653101,0.653101,True,70,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY061145-45,no,rejected_actionable,p_below_floor,raw_exact,ask_lt_50,49.0,0.502076,0.502076,True,102,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY061200-00,yes,rejected_actionable,p_below_floor,raw_exact,ask_80_plus,81.0,0.848576,0.848576,True,38,3.0
v28_raw_p50_edge0,KXBTC15M-26MAY061215-15,no,rejected_actionable,p_below_floor,raw_exact,ask_50_59,53.0,0.536898,0.536898,False,-106,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY061230-30,yes,rejected_actionable,p_below_floor,raw_exact,ask_60_69,68.0,0.681329,0.681329,False,-136,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY061245-45,no,rejected_actionable,p_below_floor,raw_exact,ask_50_59,52.0,0.555732,0.555732,False,-104,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY061300-00,no,rejected_actionable,p_below_floor,raw_exact,ask_50_59,54.0,0.544132,0.544132,True,92,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY061400-00,no,approved_entry,approved_entry,raw_exact,ask_80_plus,89.0,0.97364,0.97364,True,-10,1.0
v28_raw_p50_edge0,KXBTC15M-26MAY061415-15,no,rejected_actionable,p_below_floor,raw_exact,ask_lt_50,48.0,0.519091,0.519091,True,104,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY061430-30,yes,rejected_actionable,p_below_floor,raw_exact,ask_60_69,67.0,0.678512,0.678512,True,66,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY061445-45,no,rejected_actionable,p_below_floor,raw_exact,ask_70_79,71.0,0.724164,0.724164,True,58,3.0
v28_raw_p50_edge0,KXBTC15M-26MAY061500-00,yes,rejected_actionable,p_below_floor,raw_exact,ask_50_59,55.0,0.55091,0.55091,False,-110,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY061515-15,no,rejected_actionable,p_below_floor,raw_exact,ask_50_59,50.0,0.518915,0.518915,True,100,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY061530-30,no,rejected_actionable,p_below_floor,raw_exact,ask_50_59,53.0,0.548704,0.548704,False,-106,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY061545-45,no,rejected_actionable,p_below_floor,raw_exact,ask_lt_50,49.0,0.513617,0.513617,False,-98,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY061600-00,no,rejected_actionable,p_below_floor,raw_exact,ask_60_69,60.0,0.610883,0.610883,False,-120,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY061615-15,yes,rejected_actionable,p_below_floor,raw_exact,ask_70_79,74.0,0.770727,0.770727,True,52,3.0
v28_raw_p50_edge0,KXBTC15M-26MAY061630-30,no,rejected_actionable,p_below_floor,raw_exact,ask_60_69,63.0,0.631665,0.631665,True,74,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY061645-45,no,rejected_actionable,p_below_floor,raw_exact,ask_70_79,71.0,0.736529,0.736529,True,58,3.0
v28_raw_p50_edge0,KXBTC15M-26MAY061700-00,no,rejected_actionable,p_below_floor,raw_exact,ask_lt_50,49.0,0.547299,0.547299,False,-98,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY061715-15,yes,rejected_actionable,p_below_floor,raw_exact,ask_50_59,50.0,0.633073,0.633073,False,-100,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY061730-30,yes,rejected_actionable,p_below_floor,raw_exact,ask_60_69,63.0,0.670106,0.670106,True,74,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY061745-45,no,rejected_actionable,p_below_floor,raw_exact,ask_lt_50,14.0,0.510383,0.510383,False,-28,2.0
v28_raw_p50_edge0,KXBTC15M-26MAY061800-00,no,rejected_actionable,p_below_floor,raw_exact,ask_60_69,68.0,0.700391,0.700391,True,64,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY061815-15,no,rejected_actionable,p_below_floor,raw_exact,ask_70_79,72.0,0.794472,0.794472,True,56,3.0
v28_raw_p50_edge0,KXBTC15M-26MAY061830-30,yes,rejected_actionable,p_below_floor,raw_exact,ask_lt_50,23.0,0.553162,0.553162,False,-46,3.0
v28_raw_p50_edge0,KXBTC15M-26MAY061900-00,yes,rejected_actionable,p_below_floor,raw_exact,ask_lt_50,34.0,0.501794,0.501794,True,132,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY061915-15,no,approved_entry,approved_entry,raw_exact,ask_80_plus,87.0,0.923342,0.923342,True,24,2.0
v28_raw_p50_edge0,KXBTC15M-26MAY061930-30,yes,rejected_actionable,p_below_floor,raw_exact,ask_lt_50,47.0,0.551364,0.551364,True,106,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY061945-45,yes,rejected_actionable,p_below_floor,raw_exact,ask_lt_50,42.0,0.542407,0.542407,False,-84,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY062000-00,yes,rejected_actionable,p_below_floor,raw_exact,ask_50_59,50.0,0.582435,0.582435,True,100,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY062015-15,yes,rejected_actionable,p_below_floor,raw_exact,ask_50_59,51.0,0.526847,0.526847,False,-102,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY062030-30,yes,rejected_actionable,p_below_floor,raw_exact,ask_lt_50,32.0,0.544418,0.544418,False,-64,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY062045-45,no,rejected_actionable,p_below_floor,raw_exact,ask_50_59,51.0,0.61792,0.61792,True,98,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY062100-00,no,rejected_actionable,p_below_floor,raw_exact,ask_lt_50,22.0,0.615588,0.615588,False,-44,3.0
v28_raw_p50_edge0,KXBTC15M-26MAY062115-15,yes,rejected_actionable,p_below_floor,raw_exact,ask_50_59,53.0,0.543753,0.543753,True,94,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY062130-30,yes,rejected_actionable,p_below_floor,raw_exact,ask_lt_50,41.0,0.586142,0.586142,True,118,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY062145-45,yes,rejected_actionable,p_below_floor,raw_exact,ask_50_59,57.0,0.600378,0.600378,True,86,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY062200-00,no,rejected_actionable,p_below_floor,raw_exact,ask_lt_50,46.0,0.617816,0.617816,True,108,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY062215-15,no,rejected_actionable,p_below_floor,raw_exact,ask_50_59,59.0,0.661831,0.661831,True,82,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY062230-30,yes,rejected_actionable,p_below_floor,raw_exact,ask_lt_50,38.0,0.718015,0.718015,False,-76,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY062245-45,no,rejected_actionable,p_below_floor,raw_exact,ask_50_59,54.0,0.605951,0.605951,False,-108,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY062300-00,yes,rejected_actionable,p_below_floor,raw_exact,ask_70_79,73.0,0.758354,0.758354,True,54,3.0
v28_raw_p50_edge0,KXBTC15M-26MAY062315-15,no,rejected_actionable,p_below_floor,raw_exact,ask_60_69,68.0,0.74458,0.74458,True,64,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY062330-30,yes,rejected_actionable,p_below_floor,raw_exact,ask_50_59,52.0,0.546903,0.546903,False,-104,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY062345-45,no,rejected_actionable,p_below_floor,raw_exact,ask_lt_50,46.0,0.608623,0.608623,False,-92,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY070000-00,no,approved_entry,approved_entry,raw_exact,ask_70_79,78.0,0.863962,0.863962,True,2,2.0
v28_raw_p50_edge0,KXBTC15M-26MAY070015-15,yes,rejected_actionable,p_below_floor,raw_exact,ask_50_59,56.0,0.560075,0.560075,True,88,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY070030-30,no,rejected_actionable,p_below_floor,raw_exact,ask_lt_50,33.0,0.523605,0.523605,False,-66,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY070045-45,no,rejected_actionable,p_below_floor,raw_exact,ask_lt_50,48.0,0.582164,0.582164,True,104,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY070100-00,no,rejected_actionable,p_below_floor,raw_exact,ask_lt_50,22.0,0.505013,0.505013,False,-44,3.0
v28_raw_p50_edge0,KXBTC15M-26MAY070115-15,yes,rejected_actionable,p_below_floor,raw_exact,ask_70_79,72.0,0.773654,0.773654,True,56,3.0
v28_raw_p50_edge0,KXBTC15M-26MAY070130-30,no,rejected_actionable,p_below_floor,raw_exact,ask_50_59,59.0,0.60414,0.60414,True,82,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY070145-45,no,rejected_actionable,p_below_floor,raw_exact,ask_80_plus,81.0,0.83804,0.83804,True,38,3.0
v28_raw_p50_edge0,KXBTC15M-26MAY070200-00,yes,rejected_actionable,p_below_floor,raw_exact,ask_lt_50,30.0,0.50571,0.50571,False,-60,3.0
v28_raw_p50_edge0,KXBTC15M-26MAY070530-30,no,rejected_actionable,p_below_floor,raw_exact,ask_lt_50,48.0,0.540822,0.540822,True,104,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY070545-45,yes,rejected_actionable,p_below_floor,raw_exact,ask_60_69,60.0,0.707647,0.707647,False,-120,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY070600-00,yes,rejected_actionable,p_below_floor,raw_exact,ask_60_69,67.0,0.72396,0.72396,True,66,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY070615-15,no,rejected_actionable,p_below_floor,raw_exact,ask_lt_50,28.0,0.610872,0.610872,True,144,3.0
v28_raw_p50_edge0,KXBTC15M-26MAY070630-30,yes,rejected_actionable,p_below_floor,raw_exact,ask_lt_50,47.0,0.606974,0.606974,False,-94,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY070645-45,yes,approved_entry,approved_entry,raw_exact,ask_80_plus,81.0,0.895399,0.895399,True,38,3.0
v28_raw_p50_edge0,KXBTC15M-26MAY070700-00,yes,rejected_actionable,p_below_floor,raw_exact,ask_50_59,56.0,0.654812,0.654812,False,-112,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY070715-15,yes,rejected_actionable,p_below_floor,raw_exact,ask_50_59,51.0,0.560435,0.560435,True,98,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY070730-30,yes,rejected_actionable,p_below_floor,raw_exact,ask_lt_50,46.0,0.530778,0.530778,False,-92,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY070745-45,yes,approved_entry,approved_entry,raw_exact,ask_60_69,68.0,0.903807,0.903807,True,34,2.0
v28_raw_p50_edge0,KXBTC15M-26MAY070800-00,yes,rejected_actionable,p_below_floor,raw_exact,ask_lt_50,45.0,0.536385,0.536385,False,-90,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY070815-15,yes,rejected_actionable,p_below_floor,raw_exact,ask_lt_50,44.0,0.501147,0.501147,True,112,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY070830-30,yes,rejected_actionable,p_below_floor,raw_exact,ask_lt_50,41.0,0.514492,0.514492,False,-82,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY070845-45,yes,rejected_actionable,p_below_floor,raw_exact,ask_lt_50,45.0,0.596088,0.596088,True,110,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY070900-00,yes,rejected_actionable,p_below_floor,raw_exact,ask_50_59,55.0,0.597604,0.597604,True,90,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY070915-15,no,rejected_actionable,p_below_floor,raw_exact,ask_70_79,75.0,0.788001,0.788001,True,50,3.0
v28_raw_p50_edge0,KXBTC15M-26MAY070930-30,no,rejected_actionable,p_below_floor,raw_exact,ask_lt_50,48.0,0.511849,0.511849,False,-96,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY070945-45,no,rejected_actionable,p_below_floor,raw_exact,ask_lt_50,48.0,0.532085,0.532085,True,104,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY071000-00,yes,rejected_actionable,p_below_floor,raw_exact,ask_50_59,54.0,0.54351,0.54351,False,-108,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY071015-15,no,rejected_actionable,p_below_floor,raw_exact,ask_60_69,60.0,0.609894,0.609894,False,-120,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY071030-30,no,rejected_actionable,p_below_floor,raw_exact,ask_60_69,62.0,0.64638,0.64638,True,76,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY071045-45,yes,rejected_actionable,p_below_floor,raw_exact,ask_50_59,55.0,0.557862,0.557862,False,-110,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY071100-00,no,rejected_actionable,p_below_floor,raw_exact,ask_50_59,56.0,0.5788,0.5788,True,88,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY071115-15,no,rejected_actionable,p_below_floor,raw_exact,ask_60_69,62.0,0.635838,0.635838,False,-124,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY071130-30,no,rejected_actionable,p_below_floor,raw_exact,ask_50_59,58.0,0.582087,0.582087,True,84,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY071145-45,yes,rejected_actionable,p_below_floor,raw_exact,ask_60_69,61.0,0.645637,0.645637,True,78,4.0
v28_raw_p50_edge0,KXBTC15M-26MAY071200-00,yes,rejected_actionable,p_below_floor,raw_exact,ask_60_69,60.0,0.606055,0.606055,False,-120,4.0
