abs_d_sigma,actionable,ask_cents,ask_prob,book_age_ms,btc_age_ms,edge_cents,eff_edge_prob,eligible_depth,estimated_entry_fee_cents,feature_count,fv,gross_cents,h6_recross_hazard_high,hold_gross_cents,is_first_market_observation,is_first_market_side_observation,lambda_plus,market,market_observation_index,market_side_observation_index,net_gross_cents_after_entry_fee,outlier_count,outlier_share,p_eff,p_side,policy,raw_edge_cents,reason,recross_hazard_score,result,seconds_to_close,side,side_won,sigma_t_dollars,source,spectral_tag,status,top_eigenvalue,top_over_mp_edge,ts_wall,v28_minus_ask_prob,window_n
0.6097,True,76.0,0.76,984.0,1484.0,-2.781529,0.007184999999999997,113.0,3.0,11,v28_raw,48,True,48,False,False,2.1865937744230046,KXBTC15M-26MAY051630-30,5,2,45.0,2,0.6500461458781674,0.767185,0.767185,v28_raw_p50_edge0,-0.781529,p_below_floor,0.6709158528512382,no,827.38,no,True,128.743747,rejected_actionable,spectral_dominant_factor,finalized,5.188675667324343,2.3729490717559205,2026-05-05T20:16:12.620319+00:00,0.007184999999999997,48
0.018922,True,50.0,0.5,485.0,0.0,-2.315688,0.016843000000000052,141.56,4.0,11,v28_raw,100,True,100,True,True,2.1865937744230046,KXBTC15M-26MAY051645-45,0,0,96.0,3,0.9439319219136564,0.516843,0.516843,v28_raw_p50_edge0,-0.315688,p_below_floor,1.283901434017675,yes,879.111,yes,True,132.388055,rejected_actionable,spectral_dominant_factor,finalized,30.947098450665223,14.153108278574287,2026-05-05T20:30:20.889263+00:00,0.016843000000000052,48
0.132227,True,57.0,0.57,0.0,1484.0,-3.974403,0.000256000000000034,124.62,4.0,11,v28_raw,86,True,86,False,True,2.1865937744230046,KXBTC15M-26MAY051700-00,1,0,82.0,4,0.9735036487676375,0.570256,0.570256,v28_raw_p50_edge0,-1.974403,p_below_floor,1.0866461461842227,no,884.255,no,True,125.125577,rejected_actionable,spectral_dominant_factor,finalized,66.75847833514732,30.530809662056893,2026-05-05T20:45:15.745239+00:00,0.000256000000000034,48
0.035293,True,51.0,0.51,0.0,63.0,-2.92387,0.01076100000000002,2218.35,4.0,11,v28_raw,98,True,98,False,True,2.1865937744230046,KXBTC15M-26MAY051715-15,1,0,94.0,3,0.929758955886846,0.520761,0.520761,v28_raw_p50_edge0,-0.92387,p_below_floor,1.1005860740691689,no,884.029,no,True,115.037535,rejected_actionable,spectral_dominant_factor,finalized,44.39649355028335,20.30395131898637,2026-05-05T21:00:15.974920+00:00,0.01076100000000002,48
0.000285,True,48.0,0.48,531.0,1031.0,-1.721817,0.02278199999999997,20.68,4.0,11,v28_raw,104,True,104,False,False,2.1865937744230046,KXBTC15M-26MAY051730-30,7,3,100.0,3,0.8014728009975148,0.502782,0.502782,v28_raw_p50_edge0,0.278183,p_below_floor,0.99670063386669,no,808.554,no,True,105.185348,rejected_actionable,spectral_dominant_factor,finalized,13.407311000377788,6.131596621743649,2026-05-05T21:16:31.448432+00:00,0.02278199999999997,48
0.665923,True,71.0,0.71,0.0,594.0,3.52204,0.07022000000000006,40.0,3.0,11,v28_raw,58,True,58,False,True,2.1865937744230046,KXBTC15M-26MAY051745-45,1,0,55.0,3,0.9328521008480247,0.78022,0.78022,v28_raw_p50_edge0,5.52204,p_below_floor,0.5423839624480261,no,868.757,no,True,107.444854,rejected_actionable,spectral_dominant_factor,finalized,46.978842071940534,21.484942755010472,2026-05-05T21:30:31.244987+00:00,0.07022000000000006,48
0.291311,True,61.0,0.61,16.0,47.0,-2.203936,0.017961000000000005,550.0,4.0,11,v28_raw,78,True,78,False,False,2.1865937744230046,KXBTC15M-26MAY051800-00,6,3,74.0,5,0.9791670784952593,0.627961,0.627961,v28_raw_p50_edge0,-0.203936,p_below_floor,0.7130484761919295,yes,808.901,yes,True,100.648518,rejected_actionable,spectral_dominant_factor,finalized,23.008527725960235,10.522543325191572,2026-05-05T21:46:31.099223+00:00,0.017961000000000005,48
0.669176,True,74.0,0.74,0.0,344.0,0.41302,0.03913,1504.55,3.0,11,v28_raw,-148,True,-148,True,True,2.1865937744230046,KXBTC15M-26MAY051815-15,0,0,-151.0,4,0.987082955820957,0.77913,0.77913,v28_raw_p50_edge0,2.41302,p_below_floor,0.5227973434259201,no,883.663,yes,False,103.02218,rejected_actionable,spectral_dominant_factor,finalized,88.73356255888835,40.58072587456408,2026-05-05T22:00:16.340721+00:00,0.03913,48
0.180915,True,31.0,0.31,922.0,0.0,23.623991,0.27124,186.2,3.0,11,v28_raw,138,True,138,True,True,2.1865937744230046,KXBTC15M-26MAY051830-30,0,0,135.0,2,0.9803646730159429,0.58124,0.58124,v28_raw_p50_edge0,25.623991,p_below_floor,0.777444424872164,yes,779.531,yes,True,100.102356,rejected_actionable,spectral_dominant_factor,finalized,192.92467348449782,88.23068817865199,2026-05-05T22:17:00.468759+00:00,0.27124,48
0.885262,True,79.0,0.79,968.0,0.0,3.902414,0.07402399999999998,97.0,3.0,11,v28_raw,42,True,42,False,True,2.1865937744230046,KXBTC15M-26MAY051845-45,1,0,39.0,3,0.9610275842634353,0.864024,0.864024,v28_raw_p50_edge0,5.902414,approved_entry,0.4162522477382457,no,854.974,no,True,103.506064,approved_entry,spectral_dominant_factor,finalized,73.90637964053967,33.7997759369099,2026-05-05T22:30:45.039013+00:00,0.07402399999999998,48
0.262538,True,53.0,0.53,703.0,0.0,6.984175,0.109842,510.0,4.0,11,v28_raw,94,True,94,False,False,2.1865937744230046,KXBTC15M-26MAY051900-00,2,1,90.0,4,0.9618357422660211,0.639842,0.639842,v28_raw_p50_edge0,8.984175,p_below_floor,0.8784105018067421,yes,831.283,yes,True,118.840133,rejected_actionable,spectral_dominant_factor,finalized,44.4463750111149,20.326763723107806,2026-05-05T22:46:08.719237+00:00,0.109842,48
0.104221,True,40.0,0.4,453.0,32.0,9.3267,0.13326700000000002,1859.65,4.0,11,v28_raw,120,True,120,True,True,2.1865937744230046,KXBTC15M-26MAY051915-15,0,0,116.0,4,0.9882381437723167,0.533267,0.533267,v28_raw_p50_edge0,11.3267,p_below_floor,1.0843247420890139,yes,733.827,yes,True,133.274292,rejected_actionable,spectral_dominant_factor,finalized,188.33995400353328,86.13394778974533,2026-05-05T23:02:46.175218+00:00,0.13326700000000002,48
0.208932,True,51.0,0.51,203.0,0.0,6.394396,0.10394400000000004,946.97,4.0,11,v28_raw,98,True,98,False,False,2.1865937744230046,KXBTC15M-26MAY051945-45,2,1,94.0,4,0.9722069373395366,0.613944,0.613944,v28_raw_p50_edge0,8.394396,p_below_floor,0.7210164136419789,yes,696.051,yes,True,101.037802,rejected_actionable,spectral_dominant_factor,finalized,58.071062935802786,26.557773837587412,2026-05-05T23:33:23.957336+00:00,0.10394400000000004,48
0.377796,True,63.0,0.63,500.0,47.0,-0.453716,0.03546300000000002,10.0,4.0,11,v28_raw,74,True,74,False,False,2.1865937744230046,KXBTC15M-26MAY052000-00,7,3,70.0,3,0.7361133778014761,0.665463,0.665463,v28_raw_p50_edge0,1.546284,p_below_floor,0.5727074984684886,no,663.416,no,True,97.327568,rejected_actionable,spectral_dominant_factor,finalized,4.566137714555799,2.0882423465971427,2026-05-05T23:48:56.586770+00:00,0.03546300000000002,48
0.15036,True,49.0,0.49,78.0,0.0,3.786057,0.07786099999999996,455.52,4.0,11,v28_raw,-98,True,-98,False,True,2.1865937744230046,KXBTC15M-26MAY052015-15,1,0,-102.0,3,0.76381770003145,0.567861,0.567861,v28_raw_p50_edge0,5.786057,p_below_floor,0.945708885728407,yes,873.05,no,False,111.598841,rejected_actionable,spectral_dominant_factor,finalized,3.572755906912354,1.6339367415674309,2026-05-06T00:00:26.952847+00:00,0.07786099999999996,48
0.144729,True,47.0,0.47,672.0,0.0,3.078031,0.07078000000000007,609.78,4.0,11,v28_raw,-94,True,-94,True,True,2.1865937744230046,KXBTC15M-26MAY052030-30,0,0,-98.0,4,0.9473858809018099,0.54078,0.54078,v28_raw_p50_edge0,5.078031,p_below_floor,1.0532371475786535,no,879.629,yes,False,123.126819,rejected_actionable,spectral_dominant_factor,finalized,33.87566445250868,15.492436157442068,2026-05-06T00:15:20.371177+00:00,0.07078000000000007,48
0.161783,True,56.0,0.56,593.0,0.0,-0.973411,0.030265999999999904,121.0,4.0,11,v28_raw,-112,True,-112,False,False,2.1865937744230046,KXBTC15M-26MAY052045-45,2,1,-116.0,3,0.8858731164376115,0.590266,0.590266,v28_raw_p50_edge0,1.026589,p_below_floor,0.9355618667795917,no,773.798,yes,False,118.615496,rejected_actionable,spectral_dominant_factor,finalized,17.11149859793436,7.8256413230892505,2026-05-06T00:32:06.202799+00:00,0.030265999999999904,48
0.1558,True,46.0,0.46,468.0,0.0,6.555373,0.10555399999999998,528.35,4.0,11,v28_raw,108,True,108,True,True,2.1865937744230046,KXBTC15M-26MAY052100-00,0,0,104.0,4,0.9981370108458671,0.565554,0.565554,v28_raw_p50_edge0,8.555373,p_below_floor,0.9155195434941771,yes,808.178,yes,True,112.90117,rejected_actionable,spectral_dominant_factor,finalized,946.559371509581,432.8921917649554,2026-05-06T00:46:31.822373+00:00,0.10555399999999998,48
0.195783,True,53.0,0.53,187.0,15.0,0.147567,0.04147599999999996,34.61,4.0,11,v28_raw,94,True,94,True,True,2.1865937744230046,KXBTC15M-26MAY052115-15,0,0,90.0,3,0.9608370145648155,0.571476,0.571476,v28_raw_p50_edge0,2.147567,p_below_floor,0.9450767881068326,yes,850.512,yes,True,118.243045,rejected_actionable,spectral_dominant_factor,finalized,95.01436803765411,43.45314120485245,2026-05-06T01:00:49.489174+00:00,0.04147599999999996,48
0.789781,True,80.0,0.8,828.0,0.0,-1.216373,0.022835999999999967,19.06,3.0,11,v28_raw,40,True,40,False,False,2.1865937744230046,KXBTC15M-26MAY052130-30,2,1,37.0,4,0.9932506659922464,0.822836,0.822836,v28_raw_p50_edge0,0.783627,p_below_floor,0.44405316169357073,yes,730.554,yes,True,108.574438,rejected_actionable,spectral_dominant_factor,finalized,226.31969755847496,103.50331195751981,2026-05-06T01:17:49.446399+00:00,0.022835999999999967,48
0.941969,True,83.0,0.83,985.0,16.0,0.541718,0.03541700000000003,94.92,2.0,11,v28_raw,34,True,34,False,False,2.1865937744230046,KXBTC15M-26MAY052145-45,2,1,32.0,4,0.8586083273562025,0.865417,0.865417,v28_raw_p50_edge0,2.541718,edge_below_floor,0.30414059562596774,yes,579.745,yes,True,97.20063,rejected_actionable,spectral_dominant_factor,finalized,4.368361814281325,1.9977930356241147,2026-05-06T01:35:20.258067+00:00,0.03541700000000003,48
0.104813,True,52.0,0.52,578.0,16.0,-0.825672,0.031742999999999966,809.76,4.0,11,v28_raw,-104,True,-104,False,True,2.1865937744230046,KXBTC15M-26MAY052200-00,1,0,-108.0,3,0.9126573091250503,0.551743,0.551743,v28_raw_p50_edge0,1.174328,p_below_floor,0.9878001185792811,yes,823.452,no,False,114.680847,rejected_actionable,spectral_dominant_factor,finalized,40.75879191989496,18.64031279913908,2026-05-06T01:46:16.552084+00:00,0.031742999999999966,48
0.740524,True,77.0,0.77,156.0,31.0,0.423182,0.039231999999999934,43.26,3.0,11,v28_raw,46,True,46,False,False,2.1865937744230046,KXBTC15M-26MAY052215-15,3,1,43.0,2,0.676981936489068,0.809232,0.809232,v28_raw_p50_edge0,2.423182,p_below_floor,0.558639241423537,no,819.362,no,True,122.77792,rejected_actionable,spectral_dominant_factor,finalized,7.478793591041552,3.420294010950912,2026-05-06T02:01:20.642847+00:00,0.039231999999999934,48
0.529873,True,65.0,0.65,719.0,16.0,4.062396,0.08062400000000003,40.0,4.0,11,v28_raw,70,True,70,False,False,2.1865937744230046,KXBTC15M-26MAY052230-30,13,6,66.0,3,0.9532618662190682,0.730624,0.730624,v28_raw_p50_edge0,6.062396,p_below_floor,0.2880079670335639,no,370.94,no,True,76.206996,rejected_actionable,spectral_dominant_factor,finalized,44.28521901881593,20.25306187954452,2026-05-06T02:23:49.063251+00:00,0.08062400000000003,48
0.362082,True,57.0,0.57,94.0,47.0,3.378868,0.073789,5.0,4.0,11,v28_raw,-114,True,-114,False,False,2.1865937744230046,KXBTC15M-26MAY052245-45,7,3,-118.0,2,0.7360740147273752,0.643789,0.643789,v28_raw_p50_edge0,5.378868,p_below_floor,0.6633737111403216,yes,752.49,no,False,104.202793,rejected_actionable,spectral_dominant_factor,finalized,13.907638811774504,6.360412699631157,2026-05-06T02:32:27.510357+00:00,0.073789,48
1.210157,True,85.0,0.85,656.0,0.0,3.896671,0.068967,90.0,2.0,11,v28_raw,28,False,30,False,False,2.1865937744230046,KXBTC15M-26MAY052300-00,8,4,26.0,2,0.7129381654893612,0.918967,0.918967,v28_raw_p50_edge0,5.896671,approved_entry,0.17919533255862446,yes,474.591,yes,True,82.766141,approved_entry,spectral_dominant_factor,finalized,10.278602939843434,4.700737311188832,2026-05-06T02:52:05.427121+00:00,0.068967,48
1.030077,True,81.0,0.81,718.0,0.0,3.999851,0.07499899999999993,41.68,3.0,11,v28_raw,-38,False,38,False,False,2.1865937744230046,KXBTC15M-26MAY052315-15,13,7,-41.0,3,0.9122376278180266,0.884999,0.884999,v28_raw_p50_edge0,5.999851,approved_entry,0.21482441758698537,yes,469.554,yes,True,83.314172,approved_entry,spectral_dominant_factor,finalized,19.373304490508563,8.86003825544631,2026-05-06T03:07:10.446683+00:00,0.07499899999999993,48
0.369967,True,63.0,0.63,734.0,0.0,-1.082419,0.02917599999999998,23.98,4.0,11,v28_raw,-126,True,-126,False,False,2.1865937744230046,KXBTC15M-26MAY052330-30,3,1,-130.0,3,0.960977696259499,0.659176,0.659176,v28_raw_p50_edge0,0.917581,p_below_floor,0.572942404465045,yes,654.661,no,False,97.252016,rejected_actionable,spectral_dominant_factor,finalized,67.97588717013002,31.08757006685771,2026-05-06T03:19:05.339511+00:00,0.02917599999999998,48
0.275785,True,63.0,0.63,454.0,32.0,-3.323289,0.0067669999999999675,156.24,4.0,11,v28_raw,74,True,74,False,True,2.1865937744230046,KXBTC15M-26MAY052345-45,1,0,70.0,4,0.9839070868382598,0.636767,0.636767,v28_raw_p50_edge0,-1.323289,p_below_floor,0.8994539296283267,no,850.023,no,True,121.942963,rejected_actionable,spectral_dominant_factor,finalized,145.95970947168638,66.75209230859629,2026-05-06T03:30:49.979573+00:00,0.0067669999999999675,48
0.185582,True,56.0,0.56,781.0,0.0,-2.33454,0.016654999999999975,656.0,4.0,11,v28_raw,-112,True,-112,False,False,2.1865937744230046,KXBTC15M-26MAY060000-00,5,2,-116.0,4,0.9735351607458148,0.576655,0.576655,v28_raw_p50_edge0,-0.33454,p_below_floor,0.8620701949035889,yes,752.798,no,False,113.480671,rejected_actionable,spectral_dominant_factor,finalized,87.2693798930705,39.91110782161584,2026-05-06T03:47:27.202014+00:00,0.016654999999999975,48
0.096972,True,52.0,0.52,735.0,31.0,-2.721793,0.01278199999999996,601.0,4.0,11,v28_raw,-104,True,-104,True,True,2.1865937744230046,KXBTC15M-26MAY060015-15,0,0,-108.0,3,0.8202272032030731,0.532782,0.532782,v28_raw_p50_edge0,-0.721793,p_below_floor,0.8306505775133819,no,714.625,yes,False,102.71052,rejected_actionable,spectral_dominant_factor,finalized,9.029573111765238,4.129515604309241,2026-05-06T04:03:05.375534+00:00,0.01278199999999996,48
0.270552,True,51.0,0.51,516.0,32.0,6.707692,0.10707699999999998,120.79,4.0,11,v28_raw,-102,True,-102,True,True,2.1865937744230046,KXBTC15M-26MAY060030-30,0,0,-106.0,3,0.8081948615267935,0.617077,0.617077,v28_raw_p50_edge0,8.707692,p_below_floor,0.8318688646787503,no,853.033,yes,False,111.993405,rejected_actionable,spectral_dominant_factor,finalized,6.390694632291513,2.9226711916244623,2026-05-06T04:15:46.967766+00:00,0.10707699999999998,48
0.802399,True,79.0,0.79,235.0,0.0,0.150509,0.03650500000000001,3376.74,3.0,11,v28_raw,42,True,42,False,False,2.1865937744230046,KXBTC15M-26MAY060045-45,3,1,39.0,3,0.7211130723522674,0.826505,0.826505,v28_raw_p50_edge0,2.150509,p_below_floor,0.4617564201649501,no,818.779,no,True,108.001132,rejected_actionable,spectral_dominant_factor,finalized,6.053120645917504,2.76828769784401,2026-05-06T04:31:21.224300+00:00,0.03650500000000001,48
0.694496,True,79.0,0.79,203.0,422.0,-2.507218,0.009927999999999937,20.0,3.0,11,v28_raw,-158,True,-158,False,False,2.1865937744230046,KXBTC15M-26MAY060100-00,20,10,-161.0,4,0.9196063328381323,0.799928,0.799928,v28_raw_p50_edge0,-0.507218,p_below_floor,0.40756093134438426,no,684.076,yes,False,93.62189,rejected_actionable,spectral_dominant_factor,finalized,14.452245034602193,6.60947872606828,2026-05-06T04:48:35.924287+00:00,0.009927999999999937,48
0.056582,True,51.0,0.51,0.0,15.0,-3.602945,0.003970999999999947,99.96,4.0,11,v28_raw,98,True,98,False,False,2.1865937744230046,KXBTC15M-26MAY060115-15,3,1,94.0,3,0.7649515368473206,0.513971,0.513971,v28_raw_p50_edge0,-1.602945,p_below_floor,1.0231070867924406,no,864.611,no,True,110.460046,rejected_actionable,spectral_dominant_factor,finalized,8.333077112704094,3.810985474383789,2026-05-06T05:00:35.389901+00:00,0.003970999999999947,48
0.294972,True,59.0,0.59,0.0,172.0,-1.322067,0.026778999999999997,10.0,4.0,11,v28_raw,82,True,82,False,False,2.1865937744230046,KXBTC15M-26MAY060130-30,3,1,78.0,3,0.7279260038681589,0.616779,0.616779,v28_raw_p50_edge0,0.677933,p_below_floor,0.7777444699435803,no,849.758,no,True,107.501684,rejected_actionable,spectral_dominant_factor,finalized,4.513036931546438,2.0639576424008306,2026-05-06T05:15:50.243527+00:00,0.026778999999999997,48
0.151652,True,55.0,0.55,0.0,625.0,-3.271815,0.007282000000000011,2206.46,4.0,11,v28_raw,90,True,90,False,True,2.1865937744230046,KXBTC15M-26MAY060145-45,1,0,86.0,3,0.86810359194002,0.557282,0.557282,v28_raw_p50_edge0,-1.271815,p_below_floor,0.8491893472415443,no,869.229,no,True,100.558854,rejected_actionable,spectral_dominant_factor,finalized,7.781364676875377,3.5586695470806933,2026-05-06T05:30:30.771905+00:00,0.007282000000000011,48
0.248684,True,60.0,0.6,0.0,391.0,-2.172344,0.018276999999999988,269.68,4.0,11,v28_raw,80,True,80,False,False,2.1865937744230046,KXBTC15M-26MAY060200-00,2,1,76.0,4,0.9537180725901716,0.618277,0.618277,v28_raw_p50_edge0,-0.172344,p_below_floor,0.7676796972668695,yes,849.377,yes,True,101.333525,rejected_actionable,spectral_dominant_factor,finalized,22.247216328266774,10.174371018749168,2026-05-06T05:45:50.623750+00:00,0.018276999999999988,48
0.228362,True,53.0,0.53,0.0,15.0,1.302385,0.05302399999999996,2067.85,4.0,11,v28_raw,-106,True,-106,True,True,2.1865937744230046,KXBTC15M-26MAY060215-15,0,0,-110.0,4,0.9233667728654452,0.583024,0.583024,v28_raw_p50_edge0,3.302385,p_below_floor,0.7926086054038434,no,884.651,yes,False,100.454734,rejected_actionable,spectral_dominant_factor,finalized,10.547228285144215,4.823588363104803,2026-05-06T06:00:15.350074+00:00,0.05302399999999996,48
0.196217,True,54.0,0.54,15.0,640.0,-0.590592,0.03409399999999996,389.62,4.0,11,v28_raw,-108,True,-108,False,True,2.1865937744230046,KXBTC15M-26MAY060230-30,1,0,-112.0,2,0.7331054356482128,0.574094,0.574094,v28_raw_p50_edge0,1.409408,p_below_floor,0.7893267672168771,yes,884.495,no,False,96.882727,rejected_actionable,spectral_dominant_factor,finalized,5.995608050018384,2.7419853290309932,2026-05-06T06:15:15.506316+00:00,0.03409399999999996,48
0.346255,True,65.0,0.65,0.0,46.0,-2.91706,0.010828999999999978,63.0,4.0,11,v28_raw,-130,True,-130,False,True,2.1865937744230046,KXBTC15M-26MAY060245-45,1,0,-134.0,3,0.9021659636350425,0.660829,0.660829,v28_raw_p50_edge0,-0.91706,p_below_floor,0.6637197089991075,yes,868.74,no,False,95.507548,rejected_actionable,spectral_dominant_factor,finalized,39.18001548757424,17.918287313295313,2026-05-06T06:30:31.260794+00:00,0.010828999999999978,48
0.396112,True,64.0,0.64,0.0,62.0,-1.885877,0.021140999999999965,2149.18,4.0,11,v28_raw,72,True,72,True,True,2.1865937744230046,KXBTC15M-26MAY060300-00,0,0,68.0,4,0.9761336162947843,0.661141,0.661141,v28_raw_p50_edge0,0.114123,p_below_floor,0.6202945450205513,yes,869.393,yes,True,93.786516,rejected_actionable,spectral_dominant_factor,finalized,66.14318316867846,30.24941529714738,2026-05-06T06:45:30.608279+00:00,0.021140999999999965,48
0.043908,True,50.0,0.5,0.0,266.0,-2.763504,0.01236499999999996,110.02,4.0,11,v28_raw,100,True,100,True,True,2.1865937744230046,KXBTC15M-26MAY060315-15,0,0,96.0,4,0.9700759255214924,0.512365,0.512365,v28_raw_p50_edge0,-0.763504,p_below_floor,0.8579434902231481,yes,884.725,yes,True,90.415896,rejected_actionable,spectral_dominant_factor,finalized,84.47802924630254,38.63453295918877,2026-05-06T07:00:15.274913+00:00,0.01236499999999996,48
0.287388,True,57.0,0.57,0.0,234.0,2.087981,0.060880000000000045,1000.83,4.0,11,v28_raw,-114,True,-114,False,True,2.1865937744230046,KXBTC15M-26MAY060330-30,1,0,-118.0,3,0.8720441322343815,0.63088,0.63088,v28_raw_p50_edge0,4.087981,p_below_floor,0.6892796561237851,yes,884.146,no,False,92.697014,rejected_actionable,spectral_dominant_factor,finalized,14.738741738677327,6.7405029279233935,2026-05-06T07:15:15.855222+00:00,0.060880000000000045,48
0.064212,True,38.0,0.38,0.0,312.0,9.510544,0.13510500000000003,232.7,4.0,11,v28_raw,-76,True,-76,True,True,2.1865937744230046,KXBTC15M-26MAY060345-45,0,0,-80.0,2,0.5727093794347685,0.515105,0.515105,v28_raw_p50_edge0,11.510544,p_below_floor,0.9112189011273799,no,868.842,yes,False,98.891847,rejected_actionable,spectral_dominant_factor,finalized,5.44142148099573,2.4885379006585735,2026-05-06T07:30:31.159028+00:00,0.13510500000000003,48
0.059013,True,50.0,0.5,218.0,31.0,-0.027694,0.03972299999999995,147.01,4.0,11,v28_raw,-100,True,-100,False,False,2.1865937744230046,KXBTC15M-26MAY060400-00,2,1,-104.0,4,0.9877128705687045,0.539723,0.539723,v28_raw_p50_edge0,1.972306,p_below_floor,0.8117766764883497,no,746.444,yes,False,94.555812,rejected_actionable,spectral_dominant_factor,finalized,317.55079543121394,145.22624144716082,2026-05-06T07:47:33.557061+00:00,0.03972299999999995,48
